article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_003,LG Energy Solution,ORGANIZATION,-0.05351046992291231,-0.016,0.03751046992291231,2
art_003,LGES,ORGANIZATION,-0.0330536091569229,-0.016,0.017053609156922903,4
art_003,Hyundai,ORGANIZATION,0.0037486878012714443,-0.016,0.019748687801271446,10
art_003,Kia,ORGANIZATION,0.016631467326078564,-0.016,0.032631467326078564,1
art_003,Genesis,ORGANIZATION,0.016631467326078564,-0.016,0.032631467326078564,1
art_003,US Department of Homeland Security,ORGANIZATION,-0.0400892271718476,-0.016,0.024089227171847596,1
art_003,DHS,ORGANIZATION,-0.06579871212791961,-0.016,0.049798712127919614,3
art_003,Korea Economic Daily,ORGANIZATION,-0.025834436935838312,-0.016,0.009834436935838312,1
art_003,Hyundai,ORGANIZATION,0.0037486878012714443,-0.016,0.019748687801271446,10
art_003,LGES,ORGANIZATION,-0.0330536091569229,-0.016,0.017053609156922903,4
art_003,Hyundai Motor,ORGANIZATION,0.005991097562703847,-0.016,0.021991097562703846,6
art_003,Trump administration,ORGANIZATION,-0.1795172030106187,-0.016,0.16351720301061867,1
art_003,Republican,ORGANIZATION,0.19784154347144067,-0.016,0.2138415434714407,1
art_003,Brian Kemp,PERSON,0.19784154347144067,-0.016,0.2138415434714407,1
art_003,Donald Trump,PERSON,-0.017819445580244064,-0.016,0.001819445580244064,1
art_003,White House,ORGANIZATION,-0.017819445580244064,-0.016,0.001819445580244064,1
art_003,DHS,ORGANIZATION,-0.06579871212791961,-0.016,0.049798712127919614,3
art_003,Ice,ORGANIZATION,-0.08485877717612311,-0.016,0.06885877717612311,6
art_003,FBI,ORGANIZATION,-0.053567162714898586,-0.016,0.037567162714898586,1
art_003,DEA,ORGANIZATION,-0.07755279331468046,-0.016,0.06155279331468046,3
art_003,Steven Schrank,PERSON,-0.018758912599878386,-0.016,0.0027589125998783853,1
