api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
Azure,art_043,2026-05-23T00:22:56.543970,success,78,89,False,3017,3017,1.0
AWS,art_044,2026-05-23T00:22:59.119438,success,78,192,True,5932,4685,
Google,art_044,2026-05-23T00:23:01.730744,success,183,15,True,5932,4685,
Azure,art_044,2026-05-23T00:23:03.854914,success,130,140,True,5932,4685,2.0
AWS,art_045,2026-05-23T00:23:06.700103,success,29,49,False,1117,1117,
Google,art_045,2026-05-23T00:23:08.143529,success,51,15,False,1117,1117,
Azure,art_045,2026-05-23T00:23:11.632321,success,41,46,False,1117,1117,0.0
AWS,art_046,2026-05-23T00:23:13.693750,success,60,176,True,4854,4669,
Google,art_046,2026-05-23T00:23:15.555875,success,178,15,True,4854,4669,
Azure,art_046,2026-05-23T00:23:18.597987,success,136,121,True,4854,4669,4.0
AWS,art_047,2026-05-23T00:23:21.849406,success,83,137,False,3088,3088,
Google,art_047,2026-05-23T00:23:24.356488,success,117,15,False,3088,3088,
Azure,art_047,2026-05-23T00:23:27.373798,success,116,93,False,3088,3088,1.0
AWS,art_048,2026-05-23T00:23:30.210746,success,83,187,False,4210,4210,
Google,art_048,2026-05-23T00:23:33.310903,success,156,15,False,4210,4210,
Azure,art_048,2026-05-23T00:23:36.761610,success,130,104,False,4210,4210,1.0
AWS,art_049,2026-05-23T00:23:39.854682,success,75,203,True,7242,4666,
Google,art_049,2026-05-23T00:23:42.315061,success,176,15,True,7242,4666,
Azure,art_049,2026-05-23T00:23:45.802059,success,153,125,True,7242,4666,2.0
AWS,art_050,2026-05-23T00:23:49.570055,success,97,209,True,5515,4709,
Google,art_050,2026-05-23T00:23:52.202668,success,168,15,True,5515,4709,
Azure,art_050,2026-05-23T00:23:55.414379,success,157,120,True,5515,4709,3.0
AWS,art_051,2026-05-23T00:23:58.459243,success,18,56,False,1224,1224,
Google,art_051,2026-05-23T00:24:00.685727,success,52,15,False,1224,1224,
Azure,art_051,2026-05-23T00:24:03.102158,success,37,39,False,1224,1224,1.0
AWS,art_052,2026-05-23T00:24:05.110795,success,18,56,False,1224,1224,
Google,art_052,2026-05-23T00:24:06.557752,success,52,15,False,1224,1224,
Azure,art_052,2026-05-23T00:24:08.826842,success,37,39,False,1224,1224,1.0
AWS,art_053,2026-05-23T00:24:11.164525,success,72,142,False,3527,3527,
Google,art_053,2026-05-23T00:24:12.696203,success,122,15,False,3527,3527,
Azure,art_053,2026-05-23T00:24:15.576085,success,130,88,False,3527,3527,1.0
AWS,art_054,2026-05-23T00:24:18.607788,success,103,198,True,5233,4688,
Google,art_054,2026-05-23T00:24:21.443121,success,166,15,True,5233,4688,
Azure,art_054,2026-05-23T00:24:24.445709,success,161,111,True,5233,4688,5.0
AWS,art_055,2026-05-23T00:24:27.799162,success,75,173,False,3828,3828,
Google,art_055,2026-05-23T00:24:30.481827,success,149,15,False,3828,3828,
Azure,art_055,2026-05-23T00:24:33.266119,success,133,106,False,3828,3828,8.0
AWS,art_056,2026-05-23T00:24:36.367972,success,37,75,False,1622,1622,
Google,art_056,2026-05-23T00:24:38.716134,success,52,15,False,1622,1622,
Azure,art_056,2026-05-23T00:24:40.081079,success,63,46,False,1622,1622,0.0
AWS,art_057,2026-05-23T00:24:42.267732,success,84,186,True,5482,4700,
Google,art_057,2026-05-23T00:24:44.101969,success,161,15,True,5482,4700,
Azure,art_057,2026-05-23T00:24:47.178558,success,126,108,True,5482,4700,5.0
